# Misma sonda sobre el PADRE 2f7c821 (fail-before de esta rama, con el fail-open vivo)

== PUERTA guard-completado.sh · HOOKS_DIR=/tmp/claude-1000/-home-juan-dev-ArnesJuan/23a8ee5a-8587-4923-8f15-1fc9bf03aaf2/scratchpad/padre/hooks ==
-- A. el eje: ligero con matiz vs ligero limpio, REQ NO sensible, QA pendiente --
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero]               -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero (local)]       -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero (lo que sea)]  -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero ()]            -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero (a) (b)]       -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero (a (b))]       -> allow
-- B. con QA aprobado (la exencion deja de importar; manda Seguridad) --
  sens=no  | QA=aprobado  Seg=pendiente | Rigor=[ligero]               -> allow
  sens=no  | QA=aprobado  Seg=pendiente | Rigor=[ligero (local)]       -> allow
  sens=no  | QA=aprobado  Seg=pendiente | Rigor=[estandar (x)]         -> allow
  sens=no  | QA=aprobado  Seg=pendiente | Rigor=[critico (por suelo)]  -> deny
  sens=no  | QA=aprobado  Seg=aprobado  | Rigor=[critico (por suelo)]  -> allow
-- C. suelo de seguridad: sensible=si --
  sens=si  | QA=pendiente Seg=pendiente | Rigor=[ligero (local)]       -> deny
  sens=si  | QA=aprobado  Seg=pendiente | Rigor=[ligero (local)]       -> deny
  sens=si  | QA=aprobado  Seg=aprobado  | Rigor=[ligero (local)]       -> allow
-- D. variantes de entrada sobre el conjunto conocido --
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[LIGERO (local)]       -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[Ligero (local)]       -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero(local)]        -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[  ligero (local)  ]   -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero  (local)]      -> allow
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero (local]        -> deny
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[ligero (local) y mas] -> deny
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[(local)]              -> deny
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[()]                   -> deny
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[]                     -> deny
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[inventado]            -> deny
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[inventado (x)]        -> deny
-- E. AUSENCIA del campo Rigor (el camino que NO debe atravesar la guarda) --
  sens=no  | QA=pendiente Seg=pendiente | Rigor=[OMIT]                 -> deny
  sens=no  | QA=aprobado  Seg=pendiente | Rigor=[OMIT]                 -> allow
  sens=si  | QA=aprobado  Seg=pendiente | Rigor=[OMIT]                 -> deny
  sens=si  | QA=aprobado  Seg=aprobado  | Rigor=[OMIT]                 -> allow
-- F. repeticion/idempotencia: mismo REQ dos veces y alternancia matiz/limpio --
  alterna: matiz=allow limpio=allow matiz=allow limpio=allow
